Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund,url
Citizens Bank,Sac City,IA,8758,Iowa Trust & Savings Bank,"November 3, 2023",10545,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citizensbank.html
Heartland Tri-State Bank,Elkhart,KS,25851,"Dream First Bank, N.A.","July 28, 2023",10544,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/heartlandtristate.html
First Republic Bank,San Francisco,CA,59017,"JPMorgan Chase Bank, N.A.","May 1, 2023",10543,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/first-republic.html
Signature Bank,New York,NY,57053,"Flagstar Bank, N.A.","March 12, 2023",10540,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/signature-ny.html
Silicon Valley Bank,Santa Clara,CA ,24735,FirstâCitizens Bank & Trust Company,"March 10, 2023 ",10539,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/silicon-valley.html
Almena State Bank,Almena,KS,15426,Equity Bank,"October 23, 2020",10538,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/almenastate.html
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb","October 16, 2020",10537,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/firstcitybank.html
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.","April 3, 2020",10536,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fsb-wv.html
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,"February 14, 2020",10535,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/ericsonstate.html
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,"November 1, 2019",10534,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/citynatl.html
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,"October 25, 2019",10533,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/resolute.html
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,"October 25, 2019",10532,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/louisacomm.html
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.","May 31, 2019",10531,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/enloe.html
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,"December 15, 2017",10530,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/wafedbank.html
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,"October 13, 2017",10529,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fmstatebank.html
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb","May 26, 2017",10528,https://www.fdic.gov/resources/resolutions/bank-failures/failed-bank-list/fayettecounty.html
